reservation_id,user_id,nbr_place,number_of_voyageurs,Status,reminderSent,volId_frequency,account_age_days,payment_delay_days,total_payment_amount,payment_failures_count,payment_status,Pays,Ville,newsletter_abonne,satisfaction_client,annulations_precedentes,modifications_reservation,tentatives_paiement,email_domain,suspicious_email_domain,is_fraud,reservation_date,reservation_time
res_772188,user_2167,2,1,confirmé,True,2,22,4,585.25,1,échoué,Germany,Berlin,False,4,2,1,5,mailinator.com,True,1,2025-07-20,09:18:59.641695
res_995136,user_8263,2,2,confirmé,True,50,12,4,274.44,0,réussi,Morocco,New York,False,1,0,0,0,gmail.com,False,0,2025-03-21,15:30:10.677680
res_660894,user_4872,1,1,annulé,True,40,28,1,146.17,0,réussi,Tunisia,Paris,False,5,5,1,4,tempmail.com,True,1,2025-08-02,05:41:00.640072
res_173855,user_8193,2,1,confirmé,False,30,10,0,577.95,0,réussi,France,Berlin,True,4,0,0,0,gmail.com,False,0,2025-04-24,04:59:38.738429
res_418492,user_4107,3,2,confirmé,False,84,29,4,575.71,0,réussi,Germany,Berlin,False,4,0,0,0,hotmail.com,False,0,2024-12-06,08:49:28.738853
res_263096,user_4106,3,1,annulé,True,28,16,0,438.3,0,réussi,Germany,New York,True,4,1,1,0,hotmail.com,False,0,2025-06-02,14:35:40.670771
res_989243,user_1714,2,1,en attente,False,36,23,5,365.02,0,réussi,France,Berlin,False,1,0,0,0,yahoo.com,False,0,2024-11-26,22:26:06.692230
res_458226,user_4695,1,1,confirmé,False,45,4,4,234.26,0,réussi,USA,New York,False,4,0,0,0,gmail.com,False,0,2025-05-29,08:03:50.712171
res_890780,user_6068,1,1,confirmé,True,60,5,7,264.42,0,réussi,USA,Casablanca,True,5,1,0,0,mailinator.com,True,0,2025-05-06,16:57:28.728686
res_514320,user_1207,1,1,confirmé,True,46,14,3,106.3,0,réussi,Tunisia,Casablanca,False,4,0,0,0,gmail.com,False,0,2024-12-11,08:31:16.740396
res_570417,user_4162,2,2,confirmé,False,44,2,2,466.52,0,réussi,Morocco,New York,False,4,0,0,0,tempmail.com,True,0,2025-01-05,17:34:05.680494
res_822397,user_8046,1,1,en attente,False,73,30,3,90.04,0,réussi,Germany,Tunis,True,2,0,1,0,gmail.com,False,0,2025-05-29,18:17:00.712385
res_402337,user_3954,1,1,confirmé,True,50,15,5,71.82,0,réussi,Morocco,Berlin,True,1,1,0,1,gmail.com,False,0,2025-02-28,17:37:10.725330
res_453894,user_7211,3,1,en attente,True,85,19,5,345.12,1,échoué,France,Berlin,True,1,4,1,6,tempmail.com,True,1,2025-07-16,22:47:50.631930
res_880758,user_7105,2,2,confirmé,False,41,13,1,145.61,1,échoué,USA,Paris,False,1,3,2,1,tempmail.com,True,1,2025-07-15,20:18:52.633133
res_124145,user_9868,3,2,confirmé,False,50,7,6,481.9,0,réussi,Tunisia,Tunis,False,4,0,1,0,gmail.com,False,0,2024-07-29,23:37:53.647781
res_454441,user_9578,2,1,confirmé,True,92,19,4,421.33,0,réussi,Morocco,New York,True,1,1,0,0,gmail.com,False,0,2025-01-18,21:26:56.719315
res_807735,user_4418,3,3,confirmé,True,74,13,7,830.58,0,réussi,Germany,Paris,False,4,0,1,1,hotmail.com,False,0,2025-06-09,10:10:54.715465
res_196255,user_8192,2,2,confirmé,True,81,14,6,486.68,0,réussi,Germany,Casablanca,True,2,0,0,0,gmail.com,False,0,2025-03-16,13:24:05.734964
res_616927,user_7186,2,1,confirmé,False,16,0,2,205.5,0,réussi,Morocco,Tunis,False,2,0,1,1,yahoo.com,False,0,2025-04-05,05:40:58.704202
res_168788,user_8656,3,2,annulé,True,80,28,6,566.81,0,réussi,USA,New York,False,2,1,0,0,gmail.com,False,0,2024-09-06,02:24:16.694515
res_340458,user_4307,1,1,confirmé,True,54,0,0,200.51,0,réussi,Tunisia,Casablanca,False,4,0,0,0,gmail.com,False,0,2024-12-18,11:46:18.734620
res_151694,user_7355,1,1,confirmé,True,11,16,5,185.11,0,réussi,Tunisia,Tunis,True,5,0,0,2,hotmail.com,False,0,2025-04-30,01:26:59.734841
res_582711,user_6443,2,1,confirmé,True,95,23,1,481.07,0,réussi,Germany,Casablanca,True,1,1,0,0,yahoo.com,False,0,2024-10-21,16:32:12.690255
res_651929,user_3177,3,1,confirmé,True,67,2,3,493.39,0,réussi,USA,Paris,False,1,1,0,0,gmail.com,False,0,2025-05-12,09:54:11.697431
res_726768,user_6186,3,2,confirmé,False,41,16,2,470.35,0,réussi,Germany,New York,True,4,0,0,0,gmail.com,False,0,2025-05-31,05:19:13.655812
res_640652,user_6915,2,1,confirmé,True,44,12,0,387.79,0,réussi,Germany,Berlin,True,4,0,0,0,gmail.com,False,0,2025-06-14,17:42:00.702712
res_919838,user_6800,3,3,confirmé,True,90,4,3,365.5,0,réussi,Morocco,Casablanca,True,1,0,1,2,yahoo.com,False,0,2024-09-29,09:04:13.655113
res_405844,user_5276,1,1,annulé,True,96,1,3,197.97,1,échoué,Morocco,Paris,False,1,1,4,4,tempmail.com,True,1,2025-06-27,06:29:03.635477
res_445987,user_2527,2,1,confirmé,True,65,27,0,226.82,0,réussi,Morocco,New York,True,2,1,0,0,gmail.com,False,0,2024-09-18,09:13:52.668069
res_869390,user_4921,1,1,confirmé,True,8,4,1,263.33,0,réussi,Tunisia,Casablanca,True,4,1,1,0,yahoo.com,False,0,2025-04-04,10:39:21.693140
res_376767,user_7394,3,2,confirmé,False,65,16,4,234.92,0,réussi,USA,Berlin,True,2,0,0,0,yahoo.com,False,0,2025-04-14,11:00:28.688088
res_805817,user_4633,1,1,confirmé,False,33,22,6,224.49,0,réussi,Morocco,New York,True,5,1,0,0,hotmail.com,False,0,2024-11-14,08:00:11.730124
res_245577,user_3751,2,1,confirmé,True,92,20,3,526.12,0,réussi,France,Tunis,False,2,2,0,0,yahoo.com,False,0,2025-02-28,16:43:54.727681
res_639255,user_5478,2,2,confirmé,True,23,1,4,428.04,0,réussi,USA,New York,True,2,0,0,0,gmail.com,False,0,2025-02-02,00:43:29.718081
res_958179,user_4848,2,1,annulé,True,84,9,1,429.43,1,échoué,Germany,Paris,False,2,6,2,4,tempmail.com,True,1,2025-06-30,18:34:23.631746
res_705600,user_5188,2,2,confirmé,False,56,12,3,582.54,0,réussi,USA,Berlin,False,1,0,1,1,gmail.com,False,0,2025-04-24,11:40:30.694114
res_918652,user_4060,2,2,confirmé,True,65,28,1,263.28,0,réussi,Morocco,Paris,True,5,1,2,0,gmail.com,False,0,2024-09-06,20:53:31.708018
res_298029,user_8353,3,1,confirmé,True,46,13,7,207.17,0,réussi,France,Paris,False,4,1,0,0,gmail.com,False,0,2025-05-11,13:05:57.683121
res_196837,user_7328,1,1,confirmé,True,11,28,7,230.99,0,réussi,Germany,Tunis,True,4,0,1,0,yahoo.com,False,0,2025-06-08,11:29:00.713638
res_531203,user_1407,2,1,confirmé,True,99,24,1,211.91,0,réussi,France,Paris,True,1,1,0,0,gmail.com,False,0,2024-10-18,16:29:43.736443
res_145504,user_7607,1,1,confirmé,False,39,29,5,118.36,0,réussi,Tunisia,Casablanca,True,4,0,0,0,yahoo.com,False,0,2024-12-31,15:35:39.675024
res_762652,user_9443,3,3,annulé,True,37,30,0,492.84,1,échoué,Tunisia,Paris,False,5,2,3,3,tempmail.com,True,1,2025-08-17,09:30:12.633633
res_610451,user_1718,3,3,en attente,True,6,7,7,555.18,1,échoué,Germany,Tunis,False,3,5,1,4,mailinator.com,True,1,2025-07-20,09:20:24.636437
res_913920,user_1685,2,1,annulé,False,97,30,6,533.39,0,réussi,Germany,Casablanca,False,3,1,1,5,tempmail.com,True,1,2025-08-03,20:30:30.637553
res_740204,user_8308,1,1,confirmé,True,62,4,1,95.75,0,réussi,France,Paris,False,4,1,1,0,gmail.com,False,0,2024-09-02,10:13:22.652778
res_512440,user_9792,3,3,en attente,False,95,19,3,465.68,0,réussi,Germany,Casablanca,False,4,1,0,1,gmail.com,False,0,2025-03-30,18:33:35.681118
res_928519,user_9827,3,3,en attente,True,83,8,5,430.11,0,réussi,Germany,Tunis,True,5,3,1,3,tempmail.com,True,1,2025-07-12,07:53:14.645462
res_105953,user_8897,3,2,confirmé,True,74,20,0,318.75,0,réussi,France,New York,False,2,0,0,0,gmail.com,False,0,2025-03-23,17:37:17.696682
res_993019,user_4791,3,1,confirmé,True,16,3,3,554.93,0,réussi,Tunisia,Berlin,False,3,1,0,0,hotmail.com,False,0,2025-07-13,16:37:18.692434
res_988761,user_8962,1,1,confirmé,False,67,3,6,282.64,0,réussi,USA,Berlin,False,5,1,0,0,gmail.com,False,0,2024-10-20,14:03:27.714767
res_481671,user_2610,3,2,confirmé,True,97,0,6,598.93,0,réussi,USA,Tunis,False,2,0,0,0,gmail.com,False,0,2025-02-28,09:47:15.707721
res_236907,user_9268,2,1,confirmé,False,67,11,0,201.35,0,réussi,Germany,Paris,False,2,0,0,0,hotmail.com,False,0,2024-09-06,02:41:52.704623
res_179193,user_1156,1,1,en attente,True,42,26,7,275.72,0,réussi,Morocco,Tunis,True,1,0,0,1,tempmail.com,True,0,2025-04-20,17:57:47.726407
res_817683,user_2344,2,1,confirmé,False,24,28,4,176.35,0,réussi,France,Berlin,False,3,0,1,0,gmail.com,False,0,2024-12-23,04:19:07.666017
res_891271,user_2416,3,1,confirmé,True,25,5,3,254.51,0,réussi,France,New York,True,1,0,0,0,mailinator.com,True,0,2024-09-06,08:51:26.701877
res_818598,user_8187,1,1,confirmé,True,97,15,7,239.48,0,réussi,Morocco,New York,False,5,1,0,0,gmail.com,False,0,2024-11-09,10:05:21.662183
res_673700,user_6202,1,1,confirmé,True,85,16,2,182.14,0,réussi,Germany,Tunis,True,5,0,0,0,yahoo.com,False,0,2024-11-28,01:55:32.646399
res_485115,user_7607,2,1,confirmé,True,21,14,4,242.09,0,réussi,USA,Tunis,True,3,3,3,3,tempmail.com,True,1,2025-07-31,20:36:10.644550
res_142506,user_7067,2,1,confirmé,True,100,0,1,352.0,0,réussi,Germany,Paris,True,2,0,1,3,yahoo.com,False,0,2025-06-10,20:59:34.737573
res_826545,user_7224,1,1,annulé,False,83,21,7,135.9,0,réussi,USA,Paris,True,1,0,0,0,tempmail.com,True,0,2024-12-07,16:48:24.717708
res_233821,user_3743,3,1,en attente,False,48,10,1,258.95,0,réussi,USA,Tunis,True,4,0,0,0,hotmail.com,False,0,2024-08-11,12:05:12.725835
res_405246,user_9591,2,2,confirmé,True,71,18,3,555.67,1,échoué,Tunisia,Paris,True,1,1,1,7,tempmail.com,True,1,2025-07-25,17:13:41.641386
res_746002,user_8248,2,1,annulé,True,9,4,6,461.22,0,réussi,Morocco,Paris,False,3,2,1,3,mailinator.com,True,1,2025-07-10,06:45:28.635298
res_599760,user_7884,2,2,confirmé,False,15,3,5,429.25,0,réussi,Germany,Paris,False,4,0,0,1,tempmail.com,True,0,2025-04-28,14:15:44.658399
res_798281,user_8803,3,1,confirmé,True,85,21,4,826.99,0,réussi,Germany,Tunis,True,3,5,1,4,mailinator.com,True,1,2025-08-05,03:52:02.641876
res_728130,user_5199,2,2,confirmé,False,52,16,2,129.04,0,réussi,France,New York,False,4,1,0,1,gmail.com,False,0,2025-08-04,23:11:37.736694
res_525693,user_2006,2,2,en attente,False,49,6,7,289.55,0,réussi,USA,New York,True,5,1,0,1,gmail.com,False,0,2025-07-26,18:00:41.700331
res_793228,user_5306,3,3,confirmé,True,32,30,0,872.69,0,réussi,USA,Casablanca,False,4,0,0,0,tempmail.com,True,0,2025-07-27,19:01:19.709974
res_324411,user_9260,3,3,confirmé,True,13,24,1,278.83,0,réussi,Morocco,Paris,True,3,4,0,3,mailinator.com,True,1,2025-08-09,01:22:53.639736
res_971728,user_3712,1,1,confirmé,False,13,7,2,82.76,1,échoué,Morocco,Tunis,False,5,2,3,2,mailinator.com,True,1,2025-07-08,01:48:09.633510
res_901896,user_2804,3,2,annulé,True,84,8,1,154.81,0,réussi,Tunisia,Paris,True,4,0,1,1,yahoo.com,False,0,2024-10-31,12:31:23.664438
res_616719,user_9076,3,1,confirmé,True,48,29,1,404.16,0,réussi,Morocco,Casablanca,True,2,0,0,2,gmail.com,False,0,2024-10-17,05:15:06.668039
res_274704,user_1081,3,3,confirmé,True,18,9,2,374.31,0,réussi,Germany,Paris,False,3,0,0,0,gmail.com,False,0,2024-08-23,20:11:49.681010
res_868288,user_6770,3,2,confirmé,True,13,4,2,174.35,0,réussi,Germany,Paris,False,5,1,0,0,yahoo.com,False,0,2025-01-10,18:47:50.731101
res_457207,user_2406,2,1,annulé,True,98,30,7,216.86,0,réussi,France,Paris,True,4,2,1,0,gmail.com,False,1,2025-08-10,08:34:27.641335
res_167193,user_5310,3,1,confirmé,True,44,14,1,767.44,0,réussi,France,Berlin,True,1,1,4,5,mailinator.com,True,1,2025-07-16,21:48:11.636770
res_979950,user_4654,3,3,confirmé,True,14,12,2,817.9,0,réussi,USA,Casablanca,True,2,2,0,0,gmail.com,False,0,2025-03-15,17:22:38.649897
res_105387,user_8707,2,2,confirmé,True,35,27,1,487.23,0,réussi,Germany,Casablanca,False,2,1,1,1,gmail.com,False,0,2024-12-02,13:51:39.659598
res_338874,user_8670,1,1,annulé,False,14,12,0,259.77,0,réussi,Tunisia,Tunis,False,3,1,0,0,hotmail.com,False,0,2025-01-30,06:35:56.732758
res_434425,user_6107,1,1,en attente,True,63,11,4,111.46,0,réussi,Tunisia,New York,True,5,0,2,0,hotmail.com,False,0,2025-04-18,14:20:55.659679
res_113765,user_3647,3,3,confirmé,True,11,23,5,197.73,0,réussi,USA,Casablanca,True,4,2,0,0,tempmail.com,True,0,2024-12-25,21:14:47.662053
res_129349,user_7125,2,1,confirmé,True,26,1,6,524.17,0,réussi,France,Tunis,True,3,0,0,0,tempmail.com,True,0,2025-04-07,16:17:31.654903
res_167283,user_5649,3,2,confirmé,False,62,11,2,798.76,0,réussi,USA,Tunis,False,2,3,0,0,gmail.com,False,0,2025-01-09,23:36:21.726831
res_534661,user_4149,2,1,en attente,False,32,0,7,221.84,1,échoué,France,Paris,True,3,3,2,5,mailinator.com,True,1,2025-07-05,01:05:12.646002
res_433409,user_7506,1,1,confirmé,True,64,30,2,135.92,0,réussi,USA,Tunis,True,2,1,0,1,hotmail.com,False,0,2025-01-09,04:24:42.686552
res_449489,user_5275,3,1,confirmé,False,3,20,6,209.79,0,réussi,Tunisia,Casablanca,False,1,2,1,0,gmail.com,False,0,2024-10-21,23:11:03.712414
res_423875,user_5648,1,1,confirmé,True,36,1,7,233.31,0,réussi,Germany,Tunis,True,3,0,0,0,hotmail.com,False,0,2025-01-04,06:28:51.680878
res_509127,user_5876,2,2,confirmé,True,76,8,2,317.38,0,réussi,Germany,New York,True,1,2,0,0,gmail.com,False,0,2025-02-02,02:36:53.680416
res_534753,user_6410,2,1,annulé,True,22,25,3,178.68,0,réussi,USA,Paris,True,2,6,1,2,tempmail.com,True,1,2025-08-09,09:20:06.636643
res_435268,user_2405,3,3,confirmé,True,4,1,2,597.11,0,réussi,France,Casablanca,False,4,0,0,0,gmail.com,False,0,2024-07-30,15:32:44.687339
res_326993,user_3089,3,3,confirmé,True,80,19,4,767.66,0,réussi,Tunisia,New York,True,2,2,1,0,hotmail.com,False,0,2024-11-17,19:55:17.661063
res_386270,user_9940,1,1,confirmé,True,94,21,6,155.17,0,réussi,Morocco,Paris,False,2,2,2,0,gmail.com,False,0,2024-11-05,21:13:50.654353
res_182958,user_4784,2,2,confirmé,True,86,21,0,247.53,0,réussi,USA,Casablanca,False,2,1,0,0,gmail.com,False,0,2024-08-21,05:35:40.737864
res_786224,user_2463,2,2,annulé,False,85,20,5,470.46,0,réussi,USA,Tunis,False,2,1,3,2,mailinator.com,True,1,2025-08-06,16:59:43.635992
res_143914,user_2689,3,3,confirmé,True,86,25,6,162.33,0,réussi,Tunisia,Berlin,True,2,0,0,0,gmail.com,False,0,2025-04-04,23:43:25.685356
res_922670,user_6363,3,3,confirmé,True,51,24,1,172.01,0,réussi,France,New York,False,5,1,0,0,yahoo.com,False,0,2024-12-17,03:34:36.736834
res_962543,user_1807,2,2,confirmé,False,93,19,3,257.57,0,réussi,France,Berlin,True,5,1,1,1,gmail.com,False,0,2024-09-21,19:04:49.683546
res_249438,user_1426,3,1,annulé,True,23,22,4,277.41,0,réussi,Tunisia,Casablanca,True,4,0,0,0,gmail.com,False,0,2025-03-01,06:45:56.737181
res_868587,user_2259,3,3,confirmé,True,93,25,4,537.26,0,réussi,Tunisia,Casablanca,True,2,1,0,0,hotmail.com,False,0,2024-08-25,18:01:01.696957
res_565856,user_1078,3,1,confirmé,False,26,10,1,409.13,0,réussi,Tunisia,Paris,True,2,0,0,0,gmail.com,False,0,2025-05-04,09:29:39.703957
res_682274,user_1279,2,1,confirmé,True,43,27,1,202.48,0,réussi,Germany,Paris,True,5,0,0,0,hotmail.com,False,0,2024-12-11,00:25:45.727664
res_101514,user_3080,2,1,confirmé,True,74,28,0,432.93,0,réussi,Germany,Berlin,False,1,2,0,0,mailinator.com,True,0,2025-05-08,07:45:09.703177
res_706894,user_2083,3,1,confirmé,False,32,30,7,733.88,0,réussi,Germany,Tunis,False,5,0,0,0,gmail.com,False,0,2024-12-14,07:53:40.677996
res_980185,user_9896,3,2,confirmé,True,50,13,0,301.0,0,réussi,France,Tunis,False,2,1,1,0,gmail.com,False,0,2025-02-19,21:10:26.661209
res_347305,user_4365,3,2,annulé,False,65,16,2,622.92,0,réussi,Morocco,Casablanca,True,5,0,0,0,hotmail.com,False,0,2024-09-07,03:57:04.721116
res_187210,user_9119,2,1,confirmé,False,100,15,3,508.94,0,réussi,Tunisia,Casablanca,False,3,0,0,0,gmail.com,False,0,2024-08-10,18:54:35.723901
res_322079,user_1364,2,2,confirmé,True,22,27,1,533.54,0,réussi,Morocco,Berlin,True,3,2,0,0,gmail.com,False,0,2025-03-16,12:16:34.731191
res_243414,user_1159,1,1,annulé,False,27,6,2,135.25,0,réussi,USA,New York,False,5,0,0,0,yahoo.com,False,0,2024-10-28,06:21:39.711733
res_536294,user_1956,1,1,confirmé,True,31,23,6,272.55,0,réussi,Morocco,New York,False,2,0,0,0,hotmail.com,False,0,2025-04-05,17:46:40.651533
res_869649,user_5825,2,1,en attente,False,56,9,4,432.77,0,réussi,USA,Paris,False,2,3,3,2,mailinator.com,True,1,2025-07-17,02:13:20.635652
res_536475,user_5617,2,1,en attente,False,16,1,5,468.66,0,réussi,USA,Paris,False,1,0,0,0,gmail.com,False,0,2025-05-13,22:36:26.713878
res_460166,user_1981,3,1,confirmé,False,50,2,0,721.97,0,réussi,Tunisia,Casablanca,True,4,0,0,1,gmail.com,False,0,2025-05-24,12:15:26.716807
res_453884,user_2268,3,1,confirmé,False,64,25,5,277.99,0,réussi,Morocco,New York,False,3,0,0,0,gmail.com,False,0,2025-05-27,14:43:02.739032
res_153868,user_6167,3,3,confirmé,True,64,0,2,491.71,0,réussi,France,Casablanca,True,5,0,0,1,gmail.com,False,0,2025-03-23,07:58:36.719125
res_431532,user_2745,1,1,confirmé,False,94,21,4,105.54,0,réussi,Morocco,Berlin,False,3,1,0,0,yahoo.com,False,0,2024-11-22,23:23:31.731953
res_806006,user_3947,2,1,confirmé,True,57,29,4,192.61,0,réussi,Tunisia,Berlin,False,3,2,0,0,yahoo.com,False,0,2025-04-04,15:00:30.706264
res_346908,user_6934,1,1,confirmé,False,28,16,2,194.12,0,réussi,Morocco,Tunis,True,3,0,1,0,tempmail.com,True,0,2025-07-29,22:06:53.701048
res_285722,user_7612,3,1,confirmé,True,27,1,0,261.9,0,réussi,France,Casablanca,False,2,2,0,1,hotmail.com,False,0,2025-02-01,13:33:20.712096
res_449518,user_3386,2,1,confirmé,True,20,11,1,406.08,0,réussi,Germany,Tunis,True,1,0,0,0,yahoo.com,False,0,2025-06-24,16:52:49.698385
res_212857,user_9934,3,2,confirmé,False,25,15,4,375.41,0,réussi,France,Berlin,True,5,0,0,0,yahoo.com,False,0,2025-02-15,10:51:29.693218
res_526294,user_9977,3,1,confirmé,True,79,25,0,398.0,0,réussi,USA,Berlin,False,2,1,1,1,yahoo.com,False,0,2025-02-20,10:52:44.662274
res_363289,user_5860,2,2,confirmé,True,46,6,0,449.45,0,réussi,Tunisia,Casablanca,False,3,0,1,0,gmail.com,False,0,2024-07-31,13:00:01.719344
res_879557,user_5351,3,1,confirmé,True,59,22,7,308.57,0,réussi,Morocco,New York,False,5,0,0,1,gmail.com,False,0,2024-11-29,00:12:21.735611
res_676819,user_1987,2,1,confirmé,False,15,11,7,553.02,0,réussi,Morocco,New York,False,3,0,0,0,gmail.com,False,0,2025-01-29,09:14:50.739405
res_590859,user_6489,1,1,confirmé,True,63,27,3,268.82,0,réussi,Morocco,Casablanca,True,5,2,0,0,gmail.com,False,0,2024-11-09,10:38:11.673881
res_642717,user_8397,3,2,en attente,True,68,4,7,449.24,0,réussi,France,Casablanca,True,3,3,1,4,mailinator.com,True,1,2025-07-01,20:37:18.631213
res_914622,user_9593,2,1,confirmé,True,81,25,4,375.85,0,réussi,Tunisia,Berlin,True,2,0,0,2,gmail.com,False,0,2025-05-21,16:03:02.698513
res_136245,user_6256,1,1,annulé,True,92,26,0,266.79,0,réussi,Morocco,Berlin,False,4,0,0,0,hotmail.com,False,0,2024-09-03,13:12:30.697447
res_828684,user_9342,1,1,confirmé,True,45,1,7,115.09,0,réussi,USA,Paris,True,1,0,0,0,tempmail.com,True,0,2024-12-06,03:28:29.713368
res_938338,user_9796,3,3,annulé,True,79,5,1,678.55,1,échoué,Morocco,Berlin,False,1,2,3,3,mailinator.com,True,1,2025-07-05,17:00:07.635060
res_183688,user_6647,2,1,en attente,True,82,22,2,581.69,0,réussi,France,Paris,False,5,0,1,0,mailinator.com,True,0,2024-12-14,09:17:45.680574
res_897350,user_9707,2,1,annulé,False,24,9,6,301.71,0,réussi,France,New York,False,3,0,1,0,gmail.com,False,0,2024-10-19,06:08:16.703849
res_367309,user_6705,1,1,confirmé,True,74,22,6,277.3,0,réussi,Tunisia,Berlin,False,4,1,0,2,gmail.com,False,0,2025-04-20,10:23:03.647834
res_299747,user_7674,1,1,confirmé,True,29,9,2,271.25,0,réussi,Morocco,Casablanca,False,1,0,1,0,gmail.com,False,0,2025-03-02,08:14:38.655561
res_253347,user_6277,3,2,confirmé,True,66,10,3,800.29,1,échoué,France,Berlin,True,3,4,0,2,gmail.com,False,1,2025-07-09,22:16:26.635191
res_485651,user_1183,2,2,annulé,True,49,23,5,105.74,0,réussi,France,Berlin,True,4,0,0,1,gmail.com,False,0,2025-05-25,04:11:00.712263
res_195909,user_2903,1,1,confirmé,True,50,14,0,64.73,0,réussi,USA,Tunis,False,1,0,1,0,tempmail.com,True,0,2025-05-10,05:44:24.654270
